DBGDIDR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}000}
ADDR=0x20096 NAME=DBGWVR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x6 : MSR DBGWVR9_EL1, <Xt>
ADDR=0x200a6 NAME=DBGWVR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x6 : MSR DBGWVR10_EL1, <Xt>
ADDR=0x200b6 NAME=DBGWVR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x6 : MSR DBGWVR11_EL1, <Xt>
ADDR=0x200c6 NAME=DBGWVR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x6 : MSR DBGWVR12_EL1, <Xt>
ADDR=0x200d6 NAME=DBGWVR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x6 : MSR DBGWVR13_EL1, <Xt>
ADDR=0x200e6 NAME=DBGWVR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x6 : MSR DBGWVR14_EL1, <Xt>
ADDR=0x200f6 NAME=DBGWVR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x6 : MSR DBGWVR15_EL1, <Xt>
ADDR=0x20006 NAME=DBGWVR0_EL1 PAR=#0x2,#0x0,c0,c0,#0x6 : MRS <Xt>, DBGWVR0_EL1
ADDR=0x20016 NAME=DBGWVR1_EL1 PAR=#0x2,#0x0,c0,c1,#0x6 : MRS <Xt>, DBGWVR1_EL1
ADDR=0x20026 NAME=DBGWVR2_EL1 PAR=#0x2,#0x0,c0,c2,#0x6 : MRS <Xt>, DBGWVR2_EL1
ADDR=0x20036 NAME=DBGWVR3_EL1 PAR=#0x2,#0x0,c0,c3,#0x6 : MRS <Xt>, DBGWVR3_EL1
ADDR=0x20046 NAME=DBGWVR4_EL1 PAR=#0x2,#0x0,c0,c4,#0x6 : MRS <Xt>, DBGWVR4_EL1
ADDR=0x20056 NAME=DBGWVR5_EL1 PAR=#0x2,#0x0,c0,c5,#0x6 : MRS <Xt>, DBGWVR5_EL1
ADDR=0x20066 NAME=DBGWVR6_EL1 PAR=#0x2,#0x0,c0,c6,#0x6 : MRS <Xt>, DBGWVR6_EL1
ADDR=0x20076 NAME=DBGWVR7_EL1 PAR=#0x2,#0x0,c0,c7,#0x6 : MRS <Xt>, DBGWVR7_EL1
ADDR=0x20086 NAME=DBGWVR8_EL1 PAR=#0x2,#0x0,c0,c8,#0x6 : MRS <Xt>, DBGWVR8_EL1
ADDR=0x20096 NAME=DBGWVR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x6 : MRS <Xt>, DBGWVR9_EL1
ADDR=0x200a6 NAME=DBGWVR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x6 : MRS <Xt>, DBGWVR10_EL1
ADDR=0x200b6 NAME=DBGWVR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x6 : MRS <Xt>, DBGWVR11_EL1
ADDR=0x200c6 NAME=DBGWVR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x6 : MRS <Xt>, DBGWVR12_EL1
ADDR=0x200d6 NAME=DBGWVR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x6 : MRS <Xt>, DBGWVR13_EL1
ADDR=0x200e6 NAME=DBGWVR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x6 : MRS <Xt>, DBGWVR14_EL1
ADDR=0x200f6 NAME=DBGWVR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x6 : MRS <Xt>, DBGWVR15_EL1
ADDR=0x20006 NAME=DBGWVR0_EL1 PAR=#0x2,#0x0,c0,c0,#0x6 : MSR DBGWVR0_EL1, <Xt>
ADDR=0x20016 NAME=DBGWVR1_EL1 PAR=#0x2,#0x0,c0,c1,#0x6 : MSR DBGWVR1_EL1, <Xt>
ADDR=0x20026 NAME=DBGWVR2_EL1 PAR=#0x2,#0x0,c0,c2,#0x6 : MSR DBGWVR2_EL1, <Xt>
ADDR=0x20036 NAME=DBGWVR3_EL1 PAR=#0x2,#0x0,c0,c3,#0x6 : MSR DBGWVR3_EL1, <Xt>
ADDR=0x20046 NAME=DBGWVR4_EL1 PAR=#0x2,#0x0,c0,c4,#0x6 : MSR DBGWVR4_EL1, <Xt>
ADDR=0x20056 NAME=DBGWVR5_EL1 PAR=#0x2,#0x0,c0,c5,#0x6 : MSR DBGWVR5_EL1, <Xt>
ADDR=0x20066 NAME=DBGWVR6_EL1 PAR=#0x2,#0x0,c0,c6,#0x6 : MSR DBGWVR6_EL1, <Xt>
ADDR=0x20076 NAME=DBGWVR7_EL1 PAR=#0x2,#0x0,c0,c7,#0x6 : MSR DBGWVR7_EL1, <Xt>
ADDR=0x20086 NAME=DBGWVR8_EL1 PAR=#0x2,#0x0,c0,c8,#0x6 : MSR DBGWVR8_EL1, <Xt>
ADDR=0x20096 NAME=DBGWVR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x6 : MSR DBGWVR9_EL1, <Xt>
ADDR=0x200a6 NAME=DBGWVR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x6 : MSR DBGWVR10_EL1, <Xt>
ADDR=0x200b6 NAME=DBGWVR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x6 : MSR DBGWVR11_EL1, <Xt>
ADDR=0x200c6 NAME=DBGWVR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x6 : MSR DBGWVR12_EL1, <Xt>
ADDR=0x200d6 NAME=DBGWVR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x6 : MSR DBGWVR13_EL1, <Xt>
ADDR=0x200e6 NAME=DBGWVR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x6 : MSR DBGWVR14_EL1, <Xt>
ADDR=0x200f6 NAME=DBGWVR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x6 : MSR DBGWVR15_EL1, <Xt>
ADDR=0x20007 NAME=DBGWCR0_EL1 PAR=#0x2,#0x0,c0,c0,#0x7 : MRS <Xt>, DBGWCR0_EL1
ADDR=0x20017 NAME=DBGWCR1_EL1 PAR=#0x2,#0x0,c0,c1,#0x7 : MRS <Xt>, DBGWCR1_EL1
ADDR=0x20027 NAME=DBGWCR2_EL1 PAR=#0x2,#0x0,c0,c2,#0x7 : MRS <Xt>, DBGWCR2_EL1
ADDR=0x20037 NAME=DBGWCR3_EL1 PAR=#0x2,#0x0,c0,c3,#0x7 : MRS <Xt>, DBGWCR3_EL1
ADDR=0x20047 NAME=DBGWCR4_EL1 PAR=#0x2,#0x0,c0,c4,#0x7 : MRS <Xt>, DBGWCR4_EL1
ADDR=0x20057 NAME=DBGWCR5_EL1 PAR=#0x2,#0x0,c0,c5,#0x7 : MRS <Xt>, DBGWCR5_EL1
ADDR=0x20067 NAME=DBGWCR6_EL1 PAR=#0x2,#0x0,c0,c6,#0x7 : MRS <Xt>, DBGWCR6_EL1
ADDR=0x20077 NAME=DBGWCR7_EL1 PAR=#0x2,#0x0,c0,c7,#0x7 : MRS <Xt>, DBGWCR7_EL1
ADDR=0x20087 NAME=DBGWCR8_EL1 PAR=#0x2,#0x0,c0,c8,#0x7 : MRS <Xt>, DBGWCR8_EL1
ADDR=0x20097 NAME=DBGWCR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x7 : MRS <Xt>, DBGWCR9_EL1
ADDR=0x200a7 NAME=DBGWCR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x7 : MRS <Xt>, DBGWCR10_EL1
ADDR=0x200b7 NAME=DBGWCR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x7 : MRS <Xt>, DBGWCR11_EL1
ADDR=0x200c7 NAME=DBGWCR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x7 : MRS <Xt>, DBGWCR12_EL1
ADDR=0x200d7 NAME=DBGWCR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x7 : MRS <Xt>, DBGWCR13_EL1
ADDR=0x200e7 NAME=DBGWCR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x7 : MRS <Xt>, DBGWCR14_EL1
ADDR=0x200f7 NAME=DBGWCR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x7 : MRS <Xt>, DBGWCR15_EL1
ADDR=0x20007 NAME=DBGWCR0_EL1 PAR=#0x2,#0x0,c0,c0,#0x7 : MSR DBGWCR0_EL1, <Xt>
ADDR=0x20017 NAME=DBGWCR1_EL1 PAR=#0x2,#0x0,c0,c1,#0x7 : MSR DBGWCR1_EL1, <Xt>
ADDR=0x20027 NAME=DBGWCR2_EL1 PAR=#0x2,#0x0,c0,c2,#0x7 : MSR DBGWCR2_EL1, <Xt>
ADDR=0x20037 NAME=DBGWCR3_EL1 PAR=#0x2,#0x0,c0,c3,#0x7 : MSR DBGWCR3_EL1, <Xt>
ADDR=0x20047 NAME=DBGWCR4_EL1 PAR=#0x2,#0x0,c0,c4,#0x7 : MSR DBGWCR4_EL1, <Xt>
ADDR=0x20057 NAME=DBGWCR5_EL1 PAR=#0x2,#0x0,c0,c5,#0x7 : MSR DBGWCR5_EL1, <Xt>
ADDR=0x20067 NAME=DBGWCR6_EL1 PAR=#0x2,#0x0,c0,c6,#0x7 : MSR DBGWCR6_EL1, <Xt>
ADDR=0x20077 NAME=DBGWCR7_EL1 PAR=#0x2,#0x0,c0,c7,#0x7 : MSR DBGWCR7_EL1, <Xt>
ADDR=0x20087 NAME=DBGWCR8_EL1 PAR=#0x2,#0x0,c0,c8,#0x7 : MSR DBGWCR8_EL1, <Xt>
ADDR=0x20097 NAME=DBGWCR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x7 : MSR DBGWCR9_EL1, <Xt>
ADDR=0x200a7 NAME=DBGWCR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x7 : MSR DBGWCR10_EL1, <Xt>
ADDR=0x200b7 NAME=DBGWCR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x7 : MSR DBGWCR11_EL1, <Xt>
ADDR=0x200c7 NAME=DBGWCR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x7 : MSR DBGWCR12_EL1, <Xt>
ADDR=0x200d7 NAME=DBGWCR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x7 : MSR DBGWCR13_EL1, <Xt>
ADDR=0x200e7 NAME=DBGWCR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x7 : MSR DBGWCR14_EL1, <Xt>
ADDR=0x200f7 NAME=DBGWCR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x7 : MSR DBGWCR15_EL1, <Xt>
ADDR=0x20007 NAME=DBGWCR0_EL1 PAR=#0x2,#0x0,c0,c0,#0x7 : MRS <Xt>, DBGWCR0_EL1
ADDR=0x20017 NAME=DBGWCR1_EL1 PAR=#0x2,#0x0,c0,c1,#0x7 : MRS <Xt>, DBGWCR1_EL1
ADDR=0x20027 NAME=DBGWCR2_EL1 PAR=#0x2,#0x0,c0,c2,#0x7 : MRS <Xt>, DBGWCR2_EL1
ADDR=0x20037 NAME=DBGWCR3_EL1 PAR=#0x2,#0x0,c0,c3,#0x7 : MRS <Xt>, DBGWCR3_EL1
ADDR=0x20047 NAME=DBGWCR4_EL1 PAR=#0x2,#0x0,c0,c4,#0x7 : MRS <Xt>, DBGWCR4_EL1
ADDR=0x20057 NAME=DBGWCR5_EL1 PAR=#0x2,#0x0,c0,c5,#0x7 : MRS <Xt>, DBGWCR5_EL1
ADDR=0x20067 NAME=DBGWCR6_EL1 PAR=#0x2,#0x0,c0,c6,#0x7 : MRS <Xt>, DBGWCR6_EL1
ADDR=0x20077 NAME=DBGWCR7_EL1 PAR=#0x2,#0x0,c0,c7,#0x7 : MRS <Xt>, DBGWCR7_EL1
ADDR=0x20087 NAME=DBGWCR8_EL1 PAR=#0x2,#0x0,c0,c8,#0x7 : MRS <Xt>, DBGWCR8_EL1
ADDR=0x20097 NAME=DBGWCR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x7 : MRS <Xt>, DBGWCR9_EL1
ADDR=0x200a7 NAME=DBGWCR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x7 : MRS <Xt>, DBGWCR10_EL1
ADDR=0x200b7 NAME=DBGWCR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x7 : MRS <Xt>, DBGWCR11_EL1
ADDR=0x200c7 NAME=DBGWCR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x7 : MRS <Xt>, DBGWCR12_EL1
ADDR=0x200d7 NAME=DBGWCR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x7 : MRS <Xt>, DBGWCR13_EL1
ADDR=0x200e7 NAME=DBGWCR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x7 : MRS <Xt>, DBGWCR14_EL1
ADDR=0x200f7 NAME=DBGWCR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x7 : MRS <Xt>, DBGWCR15_EL1
ADDR=0x20007 NAME=DBGWCR0_EL1 PAR=#0x2,#0x0,c0,c0,#0x7 : MSR DBGWCR0_EL1, <Xt>
ADDR=0x20017 NAME=DBGWCR1_EL1 PAR=#0x2,#0x0,c0,c1,#0x7 : MSR DBGWCR1_EL1, <Xt>
ADDR=0x20027 NAME=DBGWCR2_EL1 PAR=#0x2,#0x0,c0,c2,#0x7 : MSR DBGWCR2_EL1, <Xt>
ADDR=0x20037 NAME=DBGWCR3_EL1 PAR=#0x2,#0x0,c0,c3,#0x7 : MSR DBGWCR3_EL1, <Xt>
ADDR=0x20047 NAME=DBGWCR4_EL1 PAR=#0x2,#0x0,c0,c4,#0x7 : MSR DBGWCR4_EL1, <Xt>
ADDR=0x20057 NAME=DBGWCR5_EL1 PAR=#0x2,#0x0,c0,c5,#0x7 : MSR DBGWCR5_EL1, <Xt>
ADDR=0x20067 NAME=DBGWCR6_EL1 PAR=#0x2,#0x0,c0,c6,#0x7 : MSR DBGWCR6_EL1, <Xt>
ADDR=0x20077 NAME=DBGWCR7_EL1 PAR=#0x2,#0x0,c0,c7,#0x7 : MSR DBGWCR7_EL1, <Xt>
ADDR=0x20087 NAME=DBGWCR8_EL1 PAR=#0x2,#0x0,c0,c8,#0x7 : MSR DBGWCR8_EL1, <Xt>
ADDR=0x20097 NAME=DBGWCR9_EL1 PAR=#0x2,#0x0,c0,c9,#0x7 : MSR DBGWCR9_EL1, <Xt>
ADDR=0x200a7 NAME=DBGWCR10_EL1 PAR=#0x2,#0x0,c0,ca,#0x7 : MSR DBGWCR10_EL1, <Xt>
ADDR=0x200b7 NAME=DBGWCR11_EL1 PAR=#0x2,#0x0,c0,cb,#0x7 : MSR DBGWCR11_EL1, <Xt>
ADDR=0x200c7 NAME=DBGWCR12_EL1 PAR=#0x2,#0x0,c0,cc,#0x7 : MSR DBGWCR12_EL1, <Xt>
ADDR=0x200d7 NAME=DBGWCR13_EL1 PAR=#0x2,#0x0,c0,cd,#0x7 : MSR DBGWCR13_EL1, <Xt>
ADDR=0x200e7 NAME=DBGWCR14_EL1 PAR=#0x2,#0x0,c0,ce,#0x7 : MSR DBGWCR14_EL1, <Xt>
ADDR=0x200f7 NAME=DBGWCR15_EL1 PAR=#0x2,#0x0,c0,cf,#0x7 : MSR DBGWCR15_EL1, <Xt>
ADDR=0x20100 NAME=MDRAR_EL1 PAR=#0x2,#0x0,c1,c0,#0x0 : MRS <Xt>, MDRAR_EL1
ADDR=0x20104 NAME=OSLAR_EL1 PAR=#0x2,#0x0,c1,c0,#0x4 : MSR OSLAR_EL1, <Xt>
ADDR=0x20114 NAME=OSLSR_EL1 PAR=#0x2,#0x0,c1,c1,#0x4 : MRS <Xt>, OSLSR_EL1
ADDR=0x20134 NAME=OSDLR_EL1 PAR=#0x2,#0x0,c1,c3,#0x4 : MRS <Xt>, OSDLR_EL1
ADDR=0x20134 NAME=OSDLR_EL1 PAR=#0x2,#0x0,c1,c3,#0x4 : MSR OSDLR_EL1, <Xt>
ADDR=0x20144 NAME=DBGPRCR_EL1 PAR=#0x2,#0x0,c1,c4,#0x4 : MRS <Xt>, DBGPRCR_EL1
ADDR=0x20144 NAME=DBGPRCR_EL1 PAR=#0x2,#0x0,c1,c4,#0x4 : MSR DBGPRCR_EL1, <Xt>
ADDR=0x20786 NAME=DBGCLAIMSET_EL1 PAR=#0x2,#0x0,c7,c8,#0x6 : MRS <Xt>, DBGCLAIMSET_EL1
ADDR=0x20786 NAME=DBGCLAIMSET_EL1 PAR=#0x2,#0x0,c7,c8,#0x6 : MSR DBGCLAIMSET_EL1, <Xt>
ADDR=0x20796 NAME=DBGCLAIMCLR_EL1 PAR=#0x2,#0x0,c7,c9,#0x6 : MRS <Xt>, DBGCLAIMCLR_EL1
ADDR=0x20796 NAME=DBGCLAIMCLR_EL1 PAR=#0x2,#0x0,c7,c9,#0x6 : MSR DBGCLAIMCLR_EL1, <Xt>
ADDR=0x207e6 NAME=DBGAUTHSTATUS_EL1 PAR=#0x2,#0x0,c7,ce,#0x6 : MRS <Xt>, DBGAUTHSTATUS_EL1
ADDR=0x209d0 NAME=SPMCGCR0_EL1 PAR=#0x2,#0x0,c9,cd,#0x0 : MRS <Xt>, SPMCGCR0_EL1
ADDR=0x209d1 NAME=SPMCGCR1_EL1 PAR=#0x2,#0x0,c9,cd,#0x1 : MRS <Xt>, SPMCGCR1_EL1
ADDR=0x209d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x0,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL1
ADDR=0x209d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x0,c9,cd,#0x3 : MSR SPMACCESSR_EL1, <Xt>
ADDR=0x259d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x5,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL12
ADDR=0x259d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x5,c9,cd,#0x3 : MSR SPMACCESSR_EL12, <Xt>
ADDR=0x209d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x0,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL1
ADDR=0x209d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x0,c9,cd,#0x3 : MSR SPMACCESSR_EL1, <Xt>
ADDR=0x259d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x5,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL12
ADDR=0x259d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x5,c9,cd,#0x3 : MSR SPMACCESSR_EL12, <Xt>
ADDR=0x249d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x4,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL2
ADDR=0x249d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x4,c9,cd,#0x3 : MSR SPMACCESSR_EL2, <Xt>
ADDR=0x209d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x0,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL1
ADDR=0x209d3 NAME=SPMACCESSR_EL1 PAR=#0x2,#0x0,c9,cd,#0x3 : MSR SPMACCESSR_EL1, <Xt>
ADDR=0x249d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x4,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL2
ADDR=0x249d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x4,c9,cd,#0x3 : MSR SPMACCESSR_EL2, <Xt>
ADDR=0x209d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x0,c9,cd,#0x3 : MRS <Xt>, SPMACCESSR_EL1
ADDR=0x209d3 NAME=SPMACCESSR_EL2 PAR=#0x2,#0x0,c9,cd,#0x3 : MSR SPMACCESSR_EL1, <Xt>
ADDR=0x209d4 NAME=SPMIIDR_EL1 PAR=#0x2,#0x0,c9,cd,#0x4 : MRS <Xt>, SPMIIDR_EL1
ADDR=0x209d5 NAME=SPMDEVARCH_EL1 PAR=#0x2,#0x0,c9,cd,#0x5 : MRS <Xt>, SPMDEVARCH_EL1
ADDR=0x209d6 NAME=SPMDEVAFF_EL1 PAR=#0x2,#0x0,c9,cd,#0x6 : MRS <Xt>, SPMDEVAFF_EL1
ADDR=0x209d7 NAME=SPMCFGR_EL1 PAR=#0x2,#0x0,c9,cd,#0x7 : MRS <Xt>, SPMCFGR_EL1
ADDR=0x209e1 NAME=SPMINTENSET_EL1 PAR=#0x2,#0x0,c9,ce,#0x1 : MRS <Xt>, SPMINTENSET_EL1
ADDR=0x209e1 NAME=SPMINTENSET_EL1 PAR=#0x2,#0x0,c9,ce,#0x1 : MSR SPMINTENSET_EL1, <Xt>
ADDR=0x209e2 NAME=SPMINTENCLR_EL1 PAR=#0x2,#0x0,c9,ce,#0x2 : MRS <Xt>, SPMINTENCLR_EL1
ADDR=0x209e2 NAME=SPMINTENCLR_EL1 PAR=#0x2,#0x0,c9,ce,#0x2 : MSR SPMINTENCLR_EL1, <Xt>
ADDR=0x20eb7 NAME=PMCCNTSVR_EL1 PAR=#0x2,#0x0,ce,cb,#0x7 : MRS <Xt>, PMCCNTSVR_EL1
ADDR=0x20e80 NAME=PMEVCNTSVR0_EL1 PAR=#0x2,#0x0,ce,c8,#0x0 : MRS <Xt>, PMEVCNTSVR0_EL1
ADDR=0x20e81 NAME=PMEVCNTSVR1_EL1 PAR=#0x2,#0x0,ce,c8,#0x1 : MRS <Xt>, PMEVCNTSVR1_EL1
ADDR=0x20e82 NAME=PMEVCNTSVR2_EL1 PAR=#0x2,#0x0,ce,c8,#0x2 : MRS <Xt>, PMEVCNTSVR2_EL1
ADDR=0x20e83 NAME=PMEVCNTSVR3_EL1 PAR=#0x2,#0x0,ce,c8,#0x3 : MRS <Xt>, PMEVCNTSVR3_EL1
ADDR=0x20e84 NAME=PMEVCNTSVR4_EL1 PAR=#0x2,#0x0,ce,c8,#0x4 : MRS <Xt>, PMEVCNTSVR4_EL1
ADDR=0x20e85 NAME=PMEVCNTSVR5_EL1 PAR=#0x2,#0x0,ce,c8,#0x5 : MRS <Xt>, PMEVCNTSVR5_EL1
ADDR=0x20e86 NAME=PMEVCNTSVR6_EL1 PAR=#0x2,#0x0,ce,c8,#0x6 : MRS <Xt>, PMEVCNTSVR6_EL1
ADDR=0x20e87 NAME=PMEVCNTSVR7_EL1 PAR=#0x2,#0x0,ce,c8,#0x7 : MRS <Xt>, PMEVCNTSVR7_EL1
ADDR=0x20e90 NAME=PMEVCNTSVR8_EL1 PAR=#0x2,#0x0,ce,c9,#0x0 : MRS <Xt>, PMEVCNTSVR8_EL1
ADDR=0x20e91 NAME=PMEVCNTSVR9_EL1 PAR=#0x2,#0x0,ce,c9,#0x1 : MRS <Xt>, PMEVCNTSVR9_EL1
ADDR=0x20e92 NAME=PMEVCNTSVR10_EL1 PAR=#0x2,#0x0,ce,c9,#0x2 : MRS <Xt>, PMEVCNTSVR10_EL1
ADDR=0x20e93 NAME=PMEVCNTSVR11_EL1 PAR=#0x2,#0x0,ce,c9,#0x3 : MRS <Xt>, PMEVCNTSVR11_EL1
ADDR=0x20e94 NAME=PMEVCNTSVR12_EL1 PAR=#0x2,#0x0,ce,c9,#0x4 : MRS <Xt>, PMEVCNTSVR12_EL1
ADDR=0x20e95 NAME=PMEVCNTSVR13_EL1 PAR=#0x2,#0x0,ce,c9,#0x5 : MRS <Xt>, PMEVCNTSVR13_EL1
ADDR=0x20e96 NAME=PMEVCNTSVR14_EL1 PAR=#0x2,#0x0,ce,c9,#0x6 : MRS <Xt>, PMEVCNTSVR14_EL1
ADDR=0x20e97 NAME=PMEVCNTSVR15_EL1 PAR=#0x2,#0x0,ce,c9,#0x7 : MRS <Xt>, PMEVCNTSVR15_EL1
ADDR=0x20ea0 NAME=PMEVCNTSVR16_EL1 PAR=#0x2,#0x0,ce,ca,#0x0 : MRS <Xt>, PMEVCNTSVR16_EL1
ADDR=0x20ea1 NAME=PMEVCNTSVR17_EL1 PAR=#0x2,#0x0,ce,ca,#0x1 : MRS <Xt>, PMEVCNTSVR17_EL1
ADDR=0x20ea2 NAME=PMEVCNTSVR18_EL1 PAR=#0x2,#0x0,ce,ca,#0x2 : MRS <Xt>, PMEVCNTSVR18_EL1
ADDR=0x20ea3 NAME=PMEVCNTSVR19_EL1 PAR=#0x2,#0x0,ce,ca,#0x3 : MRS <Xt>, PMEVCNTSVR19_EL1
ADDR=0x20ea4 NAME=PMEVCNTSVR20_EL1 PAR=#0x2,#0x0,ce,ca,#0x4 : MRS <Xt>, PMEVCNTSVR20_EL1
ADDR=0x20ea5 NAME=PMEVCNTSVR21_EL1 PAR=#0x2,#0x0,ce,ca,#0x5 : MRS <Xt>, PMEVCNTSVR21_EL1
ADDR=0x20ea6 NAME=PMEVCNTSVR22_EL1 PAR=#0x2,#0x0,ce,ca,#0x6 : MRS <Xt>, PMEVCNTSVR22_EL1
ADDR=0x20ea7 NAME=PMEVCNTSVR23_EL1 PAR=#0x2,#0x0,ce,ca,#0x7 : MRS <Xt>, PMEVCNTSVR23_EL1
ADDR=0x20eb0 NAME=PMEVCNTSVR24_EL1 PAR=#0x2,#0x0,ce,cb,#0x0 : MRS <Xt>, PMEVCNTSVR24_EL1
ADDR=0x20eb1 NAME=PMEVCNTSVR25_EL1 PAR=#0x2,#0x0,ce,cb,#0x1 : MRS <Xt>, PMEVCNTSVR25_EL1
ADDR=0x20eb2 NAME=PMEVCNTSVR26_EL1 PAR=#0x2,#0x0,ce,cb,#0x2 : MRS <Xt>, PMEVCNTSVR26_EL1
ADDR=0x20eb3 NAME=PMEVCNTSVR27_EL1 PAR=#0x2,#0x0,ce,cb,#0x3 : MRS <Xt>, PMEVCNTSVR27_EL1
ADDR=0x20eb4 NAME=PMEVCNTSVR28_EL1 PAR=#0x2,#0x0,ce,cb,#0x4 : MRS <Xt>, PMEVCNTSVR28_EL1
ADDR=0x20eb5 NAME=PMEVCNTSVR29_EL1 PAR=#0x2,#0x0,ce,cb,#0x5 : MRS <Xt>, PMEVCNTSVR29_EL1
ADDR=0x20eb6 NAME=PMEVCNTSVR30_EL1 PAR=#0x2,#0x0,ce,cb,#0x6 : MRS <Xt>, PMEVCNTSVR30_EL1
ADDR=0x20ec0 NAME=PMICNTSVR_EL1 PAR=#0x2,#0x0,ce,cc,#0x0 : MRS <Xt>, PMICNTSVR_EL1
ADDR=0x21001 NAME=TRCTRACEIDR PAR=#0x2,#0x1,c0,c0,#0x1 : MRS <Xt>, TRCTRACEIDR
ADDR=0x21001 NAME=TRCTRACEIDR PAR=#0x2,#0x1,c0,c0,#0x1 : MSR TRCTRACEIDR, <Xt>
ADDR=0x21002 NAME=TRCVICTLR PAR=#0x2,#0x1,c0,c0,#0x2 : MRS <Xt>, TRCVICTLR
ADDR=0x21002 NAME=TRCVICTLR PAR=#0x2,#0x1,c0,c0,#0x2 : MSR TRCVICTLR, <Xt>
ADDR=0x21006 NAME=TRCIDR8 PAR=#0x2,#0x1,c0,c0,#0x6 : MRS <Xt>, TRCIDR8
ADDR=0x21007 NAME=TRCIMSPEC0 PAR=#0x2,#0x1,c0,c0,#0x7 : MRS <Xt>, TRCIMSPEC0
ADDR=0x21007 NAME=TRCIMSPEC0 PAR=#0x2,#0x1,c0,c0,#0x7 : MSR TRCIMSPEC0, <Xt>
ADDR=0x21010 NAME=TRCPRGCTLR PAR=#0x2,#0x1,c0,c1,#0x0 : MRS <Xt>, TRCPRGCTLR
ADDR=0x21010 NAME=TRCPRGCTLR PAR=#0x2,#0x1,c0,c1,#0x0 : MSR TRCPRGCTLR, <Xt>
ADDR=0x21011 NAME=TRCQCTLR PAR=#0x2,#0x1,c0,c1,#0x1 : MRS <Xt>, TRCQCTLR
ADDR=0x21011 NAME=TRCQCTLR PAR=#0x2,#0x1,c0,c1,#0x1 : MSR TRCQCTLR, <Xt>
